Category,Action_Title,Action_Date,Ritual,Ritual_Date,Ritual_Lag,Holiday,Holiday_Date,Holiday_Lag
Tech_Events,"Rimini saga began in earnest in 2010 with a separate lawsuit (often referred to as Rimini I), in whi",2025-11-13,Papal Extraordinary Consistory,2025-11-18 00:00:00.000000,5,Halloween,2025-10-31,13
Tech_Events,Palantir has inked a contract with the U.S. Army worth up to $10 billion over the next decade. The a,2025-08-01,Grand Mufti Al-Aqsa Declaration,2025-08-06 00:00:00.000000,5,Halloween,2025-10-31,91
Tech_Events,Palantir's ability to cross-reference vast amounts of data makes it particularly powerful and potent,2025-06-04,Sanhedrin Convocation,2025-05-28 00:35:18.349250,6,Easter,2025-04-20,45
Tech_Events,"While Palantir has become a major government contractor in its own right, partnering with contractin",2025-08-01,Grand Mufti Al-Aqsa Declaration,2025-08-06 00:00:00.000000,5,Halloween,2025-10-31,91
Tech_Events,A Palantir Technologies (NYSE: PLTR) subsidiary has secured a $178.4 million contract from the US Ar,2024-03-07,Sanhedrin Convocation,2024-09-17 00:00:00.000000,194,St. Patrick's Day,2024-03-17,10
Tech_Events,WASHINGTON (31 July 2025) – The U.S. Army today awarded Palantir a new Enterprise Agreement that est,2025-07-31,Grand Mufti Al-Aqsa Declaration,2025-08-06 00:00:00.000000,6,Halloween,2025-10-31,92
Tech_Events,An official website of the United States Government ... List of Contracts. Results: Keyword: palanti,2025-09-05,Temple Mount Foundation Stone Laying,2025-08-26 00:35:18.348834,9,Halloween,2025-10-31,56
Tech_Events,The U.S. Army is consolidating 75 contracts into a single arrangement with Palantir Technologies wor,2025-08-05,Grand Mufti Al-Aqsa Declaration,2025-08-06 00:00:00.000000,1,Halloween,2025-10-31,87
Tech_Events,"Altogether, ICE has given Palantir contracts of at least $248.3 million, according to the data publi",2025-07-22,Grand Mufti Al-Aqsa Declaration,2025-08-06 00:00:00.000000,15,Easter,2025-04-20,93
Tech_Events,Immigration and Customs Enforcement records show Palantir recently received a $30 million contract t,2025-05-01,Grand Mufti Al-Aqsa Declaration,2025-04-21 00:00:00.000000,10,Easter,2025-04-20,11
Tech_Events,"Palantir's solutions are deployed across nearly every Army mission area, ensuring data is accessible",2022-12-09,Sanhedrin Convocation,2024-09-17 00:00:00.000000,648,Christmas,2022-12-25,16
Tech_Events,"Palantir was awarded a $480 million deal by the Army for its Maven Smart System prototype, the Penta",2024-05-29,Sanhedrin Convocation,2024-09-17 00:00:00.000000,111,Easter,2024-03-31,59
Tech_Events,The Army collapsed 75 data and software contracts into one deal potentially worth $10 billion—a deal,2025-08-01,Grand Mufti Al-Aqsa Declaration,2025-08-06 00:00:00.000000,5,Halloween,2025-10-31,91
Tech_Events,The US Army has awarded Palantir a $400.7 million contract to continue providing its artificial inte,2024-12-18,Sanhedrin Convocation,2024-12-24 00:35:18.349269,6,Christmas,2024-12-25,7
Tech_Events,Army consolidates dozens of Palantir software contracts into one deal worth up to $10 billion. An Ar,2025-08-01,Grand Mufti Al-Aqsa Declaration,2025-08-06 00:00:00.000000,5,Halloween,2025-10-31,91
Tech_Events,The U.S. Navy and AI software and data giant Palantir are now intertwined in a nearly half-billion-d,2025-12-10,Evangelical Temple Delegation,2025-12-10 00:35:18.349925,0,Christmas,2025-12-25,15
Tech_Events,"In May 2024, the Army awarded the Palantir Technologies subsidiary a five-year, $480 million contrac",2025-05-22,Sanhedrin Convocation,2025-05-28 00:35:18.349250,6,Easter,2025-04-20,32
Tech_Events,"The Trump administration has expanded Palantir's work with the government, spreading the company's t",2025-05-30,Sanhedrin Convocation,2025-05-28 00:35:18.349250,1,Easter,2025-04-20,40
Tech_Events,Thirteen former employees of influential data-mining firm Palantir are condemning the company's work,2025-05-05,Grand Mufti Al-Aqsa Declaration,2025-04-21 00:00:00.000000,14,Easter,2025-04-20,15
Tech_Events,"Palantir's response to specific allegations, assumptions, and statements made in a New York Times ar",2025-06-09,Grand Mufti Al-Aqsa Declaration,2025-06-18 00:00:00.000000,9,Easter,2025-04-20,50
Tech_Events,"US tech firm Palantir, known for supplying controversial data-sifting software to government agencie",2020-09-30,Sanhedrin Convocation,2024-09-17 00:00:00.000000,1448,Halloween,2020-10-31,31
Tech_Events,"The Privacy Concerns of Palantir, Police Departments & the Judicial Process · J.R.R. Tolkien, The Tw",2021-10-15,Sanhedrin Convocation,2024-09-17 00:00:00.000000,1068,Halloween,2021-10-31,16
